,Unnamed: 0,Country,Value,Lower_value,Upper_value,Unnamed: 0.1,Happiness Score,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Gini index,new_value,Region,Happiness Rank,Average Temperature
125,132,Chad,13.56,7.7825,22.0525,27,3.763,3.672,3.854,0.42214,0.63178,0.03824,0.12807,0.04952,0.18667,2.30637,43.32121,102.62285023925712,Sub-Saharan Africa,133,27.12046628242079
126,133,Uganda,10.525,6.5225,16.515,149,3.739,3.629,3.849,0.34719,0.90981,0.19625,0.43653,0.06442,0.27102,1.51416,42.75369,123.14205478268383,Sub-Saharan Africa,134,23.0329687137891
127,134,Burkina Faso,14.7675,9.03,22.67,21,3.739,3.647,3.831,0.31995,0.63054,0.21297,0.3337,0.12533,0.24353,1.87319,35.30123,110.33358337240192,Sub-Saharan Africa,135,28.083506760410998
128,135,Yemen,6.9975000000000005,3.5375,11.98,158,3.724,3.621,3.827,0.57939,0.47493,0.31048,0.2287,0.05892,0.09821,1.97295,36.70709,63.354717892956394,Middle East and Northern Africa,136,26.25359672528806
129,136,Madagascar,9.305,5.51,14.8225,85,3.695,3.621,3.769,0.27954,0.46115,0.37109,0.13684,0.07506,0.2204,2.15075,42.64818,152.5655720111612,Sub-Saharan Africa,137,22.749045944412938
130,137,Liberia,7.4925,3.8325,13.9975,80,3.622,3.463,3.781,0.10706,0.50353,0.23165,0.25748,0.04852,0.24063,2.23284,35.26546,329.3990285821035,Sub-Saharan Africa,138,25.377737931034517
131,138,Guinea,12.4575,6.815,20.6725,54,3.607,3.533,3.681,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914,2.15604,33.7297,150.4782511710908,Sub-Saharan Africa,139,25.452353098290622
132,139,Rwanda,9.58,5.59,15.5975,120,3.515,3.444,3.586,0.32846,0.61586,0.31865,0.5432,0.50521,0.23552,0.96819,43.71005,133.07571698228097,Sub-Saharan Africa,140,19.24442218350756
133,140,Benin,13.015,7.7675,20.785,14,3.484,3.404,3.564,0.39499,0.10419,0.21028,0.39747,0.06681,0.2018,2.10812,47.75591,120.90409883794526,Sub-Saharan Africa,141,27.171999431818186
134,141,Tanzania,8.165,5.07,12.44,142,3.4485,3.561,3.771,0.473775,0.830615,0.428,0.3672999999999999,0.098995,0.31472,1.37769,40.49123,85.465104743813,Sub-Saharan Africa,142,22.347910971786856
135,142,Afghanistan,5.9575,3.42,9.8825,0,3.36,3.288,3.432,0.38227,0.11037,0.17344,0.1643,0.07112,0.31268,2.14558,,,Southern Asia,143,14.045007194244608
136,143,Togo,15.265,9.0425,23.915,144,3.303,3.192,3.414,0.28123,0.0,0.24811,0.34678,0.11587,0.17517,2.1354,43.05614,153.09938484514456,Sub-Saharan Africa,144,26.871782756664746
137,144,Syria,2.005,1.22,3.0475,139,3.2655000000000003,2.936,3.202,0.683095,0.26333,0.5349700000000001,0.04106,0.156665,0.48397,0.81789,37.5146,54.91856915948733,Middle East and Northern Africa,145,17.917548596990663
138,145,Burundi,12.375,7.365,20.025,22,2.905,2.732,3.078,0.06831,0.23442,0.15747,0.0432,0.09419,0.2029,2.10404,38.62482,565.4343434343434,Sub-Saharan Africa,146,20.070990127758442
